,,Koordinater,,,,,,
Salsnr,Salsnamn,Lat,Long,Ort,Hus,Våning,Typ,Storlek
2-116,Ganges,,,Karlshamn,,,Övrigt,,
2-128,Mississippi,,,Karlshamn,,1,Övrigt,,
2-129,Donau,,,Karlshamn,,,Övrigt,,
2-208,Videored-rum 1,,,Karlshamn,,,Övrigt,,
2-209,Videored-rum 2,,,Karlshamn,,,Övrigt,,
2-210,Videored-rum 3,,,Karlshamn,,,Övrigt,,
2-211,Ljudrum 5,,,Karlshamn,,,Övrigt,,
H528A,Hälsostudion,,,Karlskrona,H-huset,5,Övrigt,,
J1270,,56.182804,15.590341,Karlskrona,J-huset,1,Föreläsningssal,40
J1280,,56.182747,15.590367,Karlskrona,J-huset,1,Föreläsningssal,25
J1360,,56.182885,15.590481,Karlskrona,J-huset,1,Föreläsningssal,50
J1504,Multisalen,56.183292,15.590056,Karlskrona,J-huset,1,Föreläsningssal,150
J1610,,56.183264,15.590426,Karlskrona,J-huset,1,Föreläsningssal,68
J1620,,56.183184,15.590468,Karlskrona,J-huset,1,Föreläsningssal,68
J1630,,56.183084,15.590506,Karlskrona,J-huset,1,Föreläsningssal,68
J1640,,56.182991 ,15.590552,Karlskrona,J-huset,1,Föreläsningssal,61
J1650,,56.182914,15.590612,Karlskrona,J-huset,1,Föreläsningssal,61
J2135,John Von Neumann,,,Karlskrona,J-huset,2,Konferensrum,6
J2229,Hajen,,,Karlskrona,J-huset,2,Konferensrum,,
J2309,Triangeln,,,Karlskrona,J-huset,2,Konferensrum,8
J2310,Cirkeln,,,Karlskrona,J-huset,2,Konferensrum,12
